顺序	神奇宝贝百科编号	全国图鉴编号	名字	备注
1	000	0	无	
2	Egg	#VALUE!	蛋	
3	490E	490	玛纳霏	玛纳霏的蛋
4	001	1	妙蛙种子	
5	002	2	妙蛙草	
6	003	3	妙蛙花	
7	003F	3	妙蛙花	雌性
8	003M	3	妙蛙花	超级进化
9	003GM	3	妙蛙花	超极巨化
10	004	4	小火龙	
11	005	5	火恐龙	
12	006	6	喷火龙	
13	006MX	6	喷火龙	超级进化X
14	006MY	6	喷火龙	超级进化Y
15	006GM	6	喷火龙	超极巨化
16	007	7	杰尼龟	
17	008	8	卡咪龟	
18	009	9	水箭龟	
19	009M	9	水箭龟	超级进化
20	009GM	9	水箭龟	超极巨化
21	010	10	绿毛虫	
22	011	11	铁甲蛹	
23	012	12	巴大蝶	
24	012F	12	巴大蝶	雌性
25	012GM	12	巴大蝶	超极巨化
26	013	13	独角虫	
27	014	14	铁壳蛹	
28	015	15	大针蜂	
29	015M	15	大针蜂	超级进化
30	016	16	波波	
31	017	17	比比鸟	
32	018	18	大比鸟	
33	018M	18	大比鸟	超级进化
34	019	19	小拉达	
35	019F	19	小拉达	雌性
36	019A	19	小拉达	阿罗拉
37	020	20	拉达	
38	020F	20	拉达	雌性
39	020A	20	拉达	阿罗拉
40	021	21	烈雀	
41	022	22	大嘴雀	
42	023	23	阿柏蛇	
43	024	24	阿柏怪	
44	025	25	皮卡丘	
45	025F	25	皮卡丘	雌性
46	025Co	25	皮卡丘	换装
47	025Po	25	皮卡丘	偶像
48	025Ph	25	皮卡丘	博士
49	025Li	25	皮卡丘	蒙面
50	025Be	25	皮卡丘	贵妇
51	025Ro	25	皮卡丘	硬摇滚
52	025O	25	皮卡丘	初始帽子
53	025H	25	皮卡丘	丰缘帽子
54	025S	25	皮卡丘	神奥帽子
55	025U	25	皮卡丘	合众帽子
56	025K	25	皮卡丘	卡洛斯帽子
57	025A	25	皮卡丘	阿罗拉帽子
58	025P	25	皮卡丘	就决定是你了帽子
59	025W	25	皮卡丘	世界帽子
