文件名	全国图鉴编号	形态编号	性别编号	极巨化状态	霜奶仙编号	前后状态	异色状态	神奇宝贝百科编号
poke_icon_0000_000_uk_n_00000000_f_n^u.png	0	0	uk	n	00000000	f	n	Egg
poke_icon_0000_001_uk_n_00000000_f_n^u.png	0	1	uk	n	00000000	f	n	490E
poke_icon_0001_000_mf_n_00000000_f_n^u.png	1	0	mf	n	00000000	f	n	001
poke_icon_0002_000_mf_n_00000000_f_n^u.png	2	0	mf	n	00000000	f	n	002
poke_icon_0003_000_fd_n_00000000_f_n^u.png	3	0	fd	n	00000000	f	n	003F
poke_icon_0003_000_md_n_00000000_f_n^u.png	3	0	md	n	00000000	f	n	003
poke_icon_0003_000_mf_g_00000000_f_n^u.png	3	0	mf	g	00000000	f	n	003GM
poke_icon_0003_001_mf_n_00000000_f_n^u.png	3	1	mf	n	00000000	f	n	003M
poke_icon_0004_000_mf_n_00000000_f_n^u.png	4	0	mf	n	00000000	f	n	004
poke_icon_0005_000_mf_n_00000000_f_n^u.png	5	0	mf	n	00000000	f	n	005
poke_icon_0006_000_mf_g_00000000_f_n^u.png	6	0	mf	g	00000000	f	n	006GM
poke_icon_0006_000_mf_n_00000000_f_n^u.png	6	0	mf	n	00000000	f	n	006
poke_icon_0006_001_mf_n_00000000_f_n^u.png	6	1	mf	n	00000000	f	n	006MX
poke_icon_0006_002_mf_n_00000000_f_n^u.png	6	2	mf	n	00000000	f	n	006MY
poke_icon_0007_000_mf_n_00000000_f_n^u.png	7	0	mf	n	00000000	f	n	007
poke_icon_0008_000_mf_n_00000000_f_n^u.png	8	0	mf	n	00000000	f	n	008
poke_icon_0009_000_mf_g_00000000_f_n^u.png	9	0	mf	g	00000000	f	n	009GM
poke_icon_0009_000_mf_n_00000000_f_n^u.png	9	0	mf	n	00000000	f	n	009
poke_icon_0009_001_mf_n_00000000_f_n^u.png	9	1	mf	n	00000000	f	n	009M
poke_icon_0010_000_mf_n_00000000_f_n^u.png	10	0	mf	n	00000000	f	n	010
poke_icon_0011_000_mf_n_00000000_f_n^u.png	11	0	mf	n	00000000	f	n	011
poke_icon_0012_000_fd_n_00000000_f_n^u.png	12	0	fd	n	00000000	f	n	012F
poke_icon_0012_000_md_n_00000000_f_n^u.png	12	0	md	n	00000000	f	n	012
poke_icon_0012_000_mf_g_00000000_f_n^u.png	12	0	mf	g	00000000	f	n	012GM
poke_icon_0013_000_mf_n_00000000_f_n^u.png	13	0	mf	n	00000000	f	n	013
poke_icon_0014_000_mf_n_00000000_f_n^u.png	14	0	mf	n	00000000	f	n	014
poke_icon_0015_000_mf_n_00000000_f_n^u.png	15	0	mf	n	00000000	f	n	015
poke_icon_0015_001_mf_n_00000000_f_n^u.png	15	1	mf	n	00000000	f	n	015M
poke_icon_0016_000_mf_n_00000000_f_n^u.png	16	0	mf	n	00000000	f	n	016
poke_icon_0017_000_mf_n_00000000_f_n^u.png	17	0	mf	n	00000000	f	n	017
poke_icon_0018_000_mf_n_00000000_f_n^u.png	18	0	mf	n	00000000	f	n	018
poke_icon_0018_001_mf_n_00000000_f_n^u.png	18	1	mf	n	00000000	f	n	018M
poke_icon_0019_000_fd_n_00000000_f_n^u.png	19	0	fd	n	00000000	f	n	019F
poke_icon_0019_000_md_n_00000000_f_n^u.png	19	0	md	n	00000000	f	n	019
poke_icon_0019_001_mf_n_00000000_f_n^u.png	19	1	mf	n	00000000	f	n	019A
poke_icon_0020_000_fd_n_00000000_f_n^u.png	20	0	fd	n	00000000	f	n	020F
